Timestamp,Porta Cambiata,Aperto,Server Rimanenti
1660491271,0,0,3
1660491272,0,0,3
1660491273,0,0,3
1660491274,0,0,3
1660491275,0,0,3
1660491276,0,0,3
1660491277,0,0,3
1660491278,0,0,3
1660491279,0,0,3
1660491280,0,0,3
1660491281,0,0,3
1660491282,0,0,3
1660491283,0,0,3
1660491284,0,0,3
1660491285,0,0,3
1660491286,0,0,3
1660491287,0,0,3
1660491288,0,0,3
1660491289,0,0,3
1660491290,0,0,3
1660491291,0,0,3
1660491292,0,0,3
1660491293,0,0,3
1660491294,0,0,3
1660491295,0,0,3
1660491296,0,0,3
1660491297,0,0,3
1660491298,0,0,3
1660491299,0,0,3
1660491300,0,0,3
1660491301,3123,-1,2
1660491301,0,0,2
1660491302,0,0,2
1660491303,0,0,2
1660491304,0,0,2
1660491305,0,0,2
1660491306,0,0,2
1660491307,0,0,2
1660491308,0,0,2
1660491309,0,0,2
1660491310,0,0,2
1660491311,0,0,2
1660491312,0,0,2
1660491313,0,0,2
1660491314,0,0,2
1660491315,0,0,2
1660491316,0,0,2
1660491317,0,0,2
1660491318,0,0,2
1660491319,0,0,2
1660491320,0,0,2
1660491321,0,0,2
1660491322,0,0,2
1660491323,0,0,2
1660491324,0,0,2
1660491325,0,0,2
1660491326,0,0,2
1660491327,0,0,2
1660491329,0,0,2
1660491330,0,0,2
1660491331,0,0,2
1660491332,0,0,2
1660491333,0,0,2
1660491334,0,0,2
1660491335,0,0,2
1660491336,0,0,2
1660491337,0,0,2
1660491338,0,0,2
1660491339,0,0,2
1660491340,0,0,2
1660491341,0,0,2
1660491342,0,0,2
1660491343,0,0,2
1660491344,0,0,2
1660491345,0,0,2
1660491346,0,0,2
1660491347,3123,1,3
1660491347,0,0,3
1660491348,0,0,3
1660491349,0,0,3
1660491350,0,0,3
1660491351,0,0,3
1660491352,0,0,3
1660491353,0,0,3
1660491354,0,0,3
1660491355,0,0,3
1660491356,0,0,3
1660491357,0,0,3
1660491358,0,0,3
1660491359,0,0,3
1660491360,0,0,3
1660491361,0,0,3
1660491362,0,0,3
1660491363,0,0,3
1660491364,0,0,3
1660491365,0,0,3
1660491366,0,0,3
1660491367,0,0,3
1660491368,0,0,3
1660491369,0,0,3
1660491370,0,0,3
1660491371,0,0,3
1660491372,0,0,3
1660491373,0,0,3
1660491374,0,0,3
1660491375,0,0,3
1660491376,0,0,3
1660491377,0,0,3
1660491378,0,0,3
1660491379,0,0,3
1660491380,0,0,3
1660491381,0,0,3
1660491382,0,0,3
1660491383,0,0,3
1660491384,0,0,3
1660491385,5123,-1,2
1660491385,0,0,2
1660491386,0,0,2
1660491387,0,0,2
1660491388,0,0,2
1660491389,0,0,2
1660491390,0,0,2
1660491391,0,0,2
1660491392,0,0,2
1660491393,0,0,2
1660491394,0,0,2
1660491395,0,0,2
1660491396,0,0,2
1660491397,0,0,2
1660491398,0,0,2
1660491399,0,0,2
1660491400,0,0,2
1660491401,0,0,2
1660491402,0,0,2
1660491403,0,0,2
1660491404,0,0,2
1660491405,0,0,2
1660491406,0,0,2
1660491407,0,0,2
1660491408,0,0,2
1660491409,0,0,2
1660491410,0,0,2
1660491411,0,0,2
1660491412,0,0,2
1660491413,0,0,2
1660491414,0,0,2
1660491415,0,0,2
1660491416,0,0,2
1660491417,0,0,2
1660491418,0,0,2
1660491419,0,0,2
1660491420,0,0,2
1660491421,0,0,2
1660491423,5123,1,3
1660491423,0,0,3
1660491424,0,0,3
1660491425,0,0,3
1660491426,0,0,3
1660491427,0,0,3
1660491428,0,0,3
1660491429,0,0,3
1660491430,0,0,3
1660491431,0,0,3
1660491432,0,0,3
1660491433,0,0,3
1660491434,0,0,3
1660491435,0,0,3
1660491436,0,0,3
1660491437,0,0,3
1660491438,0,0,3
1660491439,0,0,3
1660491440,0,0,3
1660491441,0,0,3
1660491442,0,0,3
1660491443,0,0,3
1660491444,0,0,3
1660491445,0,0,3
1660491446,0,0,3
1660491447,0,0,3
1660491448,0,0,3
1660491449,0,0,3
1660491450,0,0,3
1660491451,0,0,3
1660491452,0,0,3
1660491453,0,0,3
1660491454,0,0,3
1660491455,0,0,3
1660491456,0,0,3
1660491457,0,0,3
1660491458,0,0,3
1660491459,0,0,3
1660491460,0,0,3
1660491461,0,0,3
1660491462,0,0,3
1660491463,0,0,3
1660491464,0,0,3
1660491465,0,0,3
1660491466,0,0,3
1660491467,3123,-1,2
1660491467,0,0,2
1660491468,0,0,2
1660491469,0,0,2
1660491470,0,0,2
1660491471,0,0,2
1660491472,0,0,2
1660491473,0,0,2
1660491474,0,0,2
1660491475,0,0,2
1660491476,0,0,2
1660491477,0,0,2
1660491478,0,0,2
1660491479,0,0,2
1660491480,0,0,2
1660491481,0,0,2
1660491482,0,0,2
1660491483,0,0,2
1660491484,0,0,2
1660491485,0,0,2
1660491486,0,0,2
1660491487,0,0,2
1660491488,0,0,2
1660491489,0,0,2
1660491490,0,0,2
1660491491,0,0,2
1660491492,0,0,2
1660491493,0,0,2
1660491494,0,0,2
1660491495,0,0,2
1660491496,0,0,2
1660491497,0,0,2
1660491498,0,0,2
1660491499,0,0,2
1660491500,0,0,2
1660491501,0,0,2
1660491502,0,0,2
1660491503,0,0,2
1660491504,0,0,2
1660491505,0,0,2
1660491506,0,0,2
1660491507,0,0,2
1660491508,0,0,2
1660491509,0,0,2
1660491510,0,0,2
1660491511,0,0,2
1660491512,0,0,2
1660491513,0,0,2
1660491514,0,0,2
1660491515,0,0,2
1660491516,0,0,2
1660491517,0,0,2
1660491518,0,0,2
1660491519,0,0,2
1660491520,0,0,2
1660491521,0,0,2
1660491522,0,0,2
1660491523,0,0,2
1660491524,5123,-1,1
1660491524,0,0,1
1660491525,0,0,1
1660491526,0,0,1
1660491527,0,0,1
1660491528,0,0,1
1660491529,0,0,1
1660491530,0,0,1
1660491531,0,0,1
1660491532,0,0,1
1660491533,0,0,1
1660491534,0,0,1
1660491535,0,0,1
1660491536,0,0,1
1660491537,0,0,1
1660491538,0,0,1
1660491540,0,0,1
1660491541,0,0,1
1660491542,0,0,1
1660491543,0,0,1
1660491544,0,0,1
1660491545,0,0,1
1660491546,0,0,1
1660491547,0,0,1
1660491548,0,0,1
1660491549,0,0,1
1660491550,0,0,1
1660491551,0,0,1
1660491552,0,0,1
1660491553,0,0,1
1660491554,0,0,1
1660491555,0,0,1
1660491556,0,0,1
1660491557,0,0,1
1660491558,0,0,1
1660491559,0,0,1
1660491560,0,0,1
1660491561,0,0,1
1660491562,0,0,1
1660491563,5123,1,2
1660491563,0,0,2
1660491564,0,0,2
1660491565,0,0,2
1660491566,0,0,2
1660491567,0,0,2
1660491568,0,0,2
1660491569,0,0,2
1660491570,0,0,2
1660491571,0,0,2
1660491572,0,0,2
1660491573,0,0,2
1660491574,0,0,2
1660491575,0,0,2
1660491576,0,0,2
1660491577,0,0,2
1660491578,0,0,2
1660491579,0,0,2
1660491580,0,0,2
1660491581,0,0,2
1660491582,0,0,2
1660491583,0,0,2
1660491584,0,0,2
